Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CMP,Compass Minerals Intl Inc Common Stock,$68.475,1.205,1.791%,2330801420.00,United States,2003,111687,Basic Industries,Precious Metals
CNEY,CN Energy Group Inc. Ordinary Shares,$5.95,0.02,0.337%,120899692.00,China,2021,5784,Basic Industries,Major Chemicals
CRS,Carpenter Technology Corporation Common Stock,$34.07,0.76,2.282%,1637648277.00,United States,,71056,Basic Industries,Steel/Iron Ore
CRWS,Crown Crafts Inc Common Stock,$7.3572,-0.0427,-0.577%,73814103.00,United States,,444,Basic Industries,Textiles
CSTM,Constellium SE Ordinary Shares (France),$18.985,-0.215,-1.12%,2689744794.00,Netherlands,2013,660246,Basic Industries,Metal Fabrications
CSWI,CSW Industrials Inc. Common Stock,$134.20,-2.03,-1.49%,2111529640.00,United States,,11443,Basic Industries,Home Furnishings
CTVA,Corteva Inc. Common Stock ,$42.4721,-0.3079,-0.72%,31182378739.00,,2019,760037,Basic Industries,Major Chemicals
CULP,Culp Inc. Common Stock,$13.11,0.00,0.00%,159985053.00,United States,,22519,Basic Industries,Textiles
CVCO,Cavco Industries Inc. Common Stock When Issued,$234.105,0.475,0.203%,2150729658.00,United States,,8318,Basic Industries,Homebuilding
DOW,Dow Inc. Common Stock ,$58.2399,-0.4701,-0.801%,43433674356.00,,2019,2615139,Basic Industries,Industrial Specialties
DRD,DRDGOLD Limited American Depositary Shares,$8.43,-0.03,-0.355%,720860925.00,South Africa,,117243,Basic Industries,Precious Metals
DY,Dycom Industries Inc. Common Stock,$68.40,-1.65,-2.355%,2063669040.00,United States,,94273,Basic Industries,Water Supply
ECVT,Ecovyst Inc. Common Stock,$11.53,-0.03,-0.26%,1578967260.00,United States,2017,60205,Basic Industries,Major Chemicals
EMN,Eastman Chemical Company Common Stock,$104.80,-0.42,-0.399%,14230028951.00,United States,,248238,Basic Industries,Major Chemicals
ENR,Energizer Holdings Inc. Common Stock,$38.67,-0.30,-0.77%,2643934683.00,United States,2015,235364,Basic Industries,Metal Fabrications
ESI,Element Solutions Inc. Common Stock,$22.92,0.00,0.00%,5674256933.00,United States,2014,690252,Basic Industries,Industrial Specialties
EVGN,Evogene Ltd Ordinary Shares,$2.59,0.04,1.569%,105208711.00,Israel,,113522,Basic Industries,Agricultural Chemicals
FCX,Freeport-McMoRan Inc. Common Stock,$35.30,1.17,3.428%,51822672720.00,United States,,21528844,Basic Industries,Precious Metals
FF,FutureFuel Corp.  Common shares,$7.615,0.135,1.805%,333257095.00,United States,,96810,Basic Industries,Major Chemicals
FMC,FMC Corporation Common Stock,$88.835,-0.235,-0.264%,11433010044.00,United States,,581789,Basic Industries,Agricultural Chemicals
FOE,Ferro Corporation Common Stock,$20.82,0.10,0.483%,1721903318.00,United States,,105097,Basic Industries,Paints/Coatings
FRD,Friedman Industries Inc. Common Stock,$12.025,0.185,1.563%,82966932.00,United States,,12220,Basic Industries,Steel/Iron Ore
FSTR,L.B. Foster Company Common Stock,$15.50,-0.10,-0.641%,167934456.00,United States,,10123,Basic Industries,Metal Fabrications
FUL,H. B. Fuller Company Common Stock,$64.215,0.055,0.086%,3374758513.00,United States,,50597,Basic Industries,Home Furnishings
GATO,Gatos Silver Inc. Common Stock,$10.8598,-0.0702,-0.642%,749230232.00,United States,2020,224748,Basic Industries,Precious Metals
GFI,Gold Fields Limited American Depositary Shares,$8.71,-0.03,-0.343%,7732018101.00,South Africa,,2584109,Basic Industries,Precious Metals
GGB,Gerdau S.A. Common Stock,$4.88,-0.02,-0.408%,8323212525.00,Brazil,,5924707,Basic Industries,Steel/Iron Ore
GLT,Glatfelter Corporation Common Stock,$14.72,0.25,1.728%,655409310.00,United States,,74165,Basic Industries,Paper
GORO,Gold Resource Corporation Common Stock,$1.62,-0.01,-0.613%,120741717.00,United States,,398534,Basic Industries,Precious Metals
GPK,Graphic Packaging Holding Company,$18.945,0.145,0.771%,5817040009.00,United States,,663906,Basic Industries,Paper
GPRE,Green Plains Inc. Common Stock,$35.29,0.26,0.742%,1893298266.00,United States,,804684,Basic Industries,Major Chemicals
GSM,Ferroglobe PLC Ordinary Shares,$7.715,-0.085,-1.09%,1443633192.00,United Kingdom,,1377665,Basic Industries,Precious Metals
GURE,Gulf Resources Inc. (NV) Common Stock,$5.095,0.2286,4.698%,53341985.00,China,,21082,Basic Industries,Major Chemicals
HDSN,Hudson Technologies Inc. Common Stock,$3.26,-0.10,-2.976%,143012233.00,United States,,123508,Basic Industries,Specialty Chemicals
HL,Hecla Mining Company Common Stock,$5.515,0.015,0.273%,2961425574.00,United States,,2483776,Basic Industries,Precious Metals
