sep=;
Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2021-10-26;119.64;101.14;103.64;103.00;128;13,184;
2021-10-25;117.34;109.59;117.34;114.21;63;7,195;
2021-10-22;112.70;108.70;108.70;108.76;71;7,722;
2021-10-21;138.87;130.62;136.37;136.07;464;63,138;
2021-10-20;142.33;125.33;125.33;137.25;131;17,980;
2021-10-19;122.83;122.83;122.83;122.83;1;123;
2021-10-18;145.78;128.29;137.54;137.26;107;14,686;
2021-10-15;152.48;137.74;140.49;146.57;4,015;588,474;
2021-10-14;169.23;153.47;153.47;159.49;23,040;3,674,624;
2021-10-13;215.69;169.95;171.44;182.47;13,559;2,474,159;
2021-10-12;246.43;200.70;200.70;227.24;25,746;5,850,562;
2021-10-11;233.19;217.93;220.18;224.71;4,571;1,027,165;
2021-10-08;216.94;197.68;212.43;207.53;4,724;980,391;
2021-10-07;214.43;193.19;193.43;204.26;6,525;1,332,821;
2021-10-06;243.17;213.42;234.17;230.69;7,320;1,688,687;
2021-10-05;228.67;200.18;200.18;219.61;1,223;268,587;
2021-10-04;222.68;202.68;218.42;211.42;2,412;509,948;
2021-10-01;241.99;206.25;214.00;229.87;3,838;882,244;
2021-09-30;210.00;184.51;207.25;202.07;1,091;220,459;
2021-09-29;211.00;189.00;206.01;201.12;773;155,463;
2021-09-28;206.74;163.76;206.74;178.89;3,804;680,481;
2021-09-27;162.02;150.52;157.01;155.56;758;117,918;
2021-09-24;155.26;136.02;150.26;148.40;5,573;827,040;
2021-09-23;146.52;125.52;125.52;134.70;7,589;1,022,273;
2021-09-22;178.26;161.51;164.76;169.56;8,108;1,374,824;
2021-09-21;189.99;172.25;189.99;180.64;2,440;440,757;
2021-09-20;204.74;167.00;195.25;182.77;17,496;3,197,742;
2021-09-17;144.51;107.29;144.51;116.84;11,741;1,371,819;
2021-09-16;133.03;111.79;122.79;122.07;10,659;1,301,103;
2021-09-15;146.89;124.90;139.64;128.85;7,191;926,566;
2021-09-14;139.59;125.09;125.09;128.75;1,311;168,790;
2021-09-13;131.80;111.31;128.80;118.41;1,819;215,384;
2021-09-10;119.16;104.17;119.16;111.17;3,547;394,312;
2021-09-09;139.86;100.36;112.61;115.07;15,983;1,839,200;
2021-09-08;127.32;106.31;120.32;111.35;2,762;307,560;
2021-09-07;98.02;76.77;91.03;91.81;5,618;515,780;
2021-09-06;81.48;74.22;74.97;76.83;6,398;491,578;
2021-09-03;98.97;78.47;93.97;91.72;2,142;196,469;
2021-09-02;98.71;80.70;81.20;93.61;4,237;396,614;
2021-09-01;113.18;96.18;105.68;102.33;9,103;931,480;
2021-08-31;120.90;92.16;120.90;108.34;4,613;499,757;
2021-08-30;102.90;91.65;95.90;100.28;4,886;489,979;
2021-08-27;107.19;95.83;97.34;100.96;6,250;631,015;
2021-08-26;109.18;98.18;98.94;104.75;9,538;999,096;
2021-08-25;107.66;96.92;97.66;99.97;4,278;427,682;
2021-08-24;114.40;95.40;103.40;102.64;14,626;1,501,281;
2021-08-23;116.12;93.37;101.37;103.25;4,988;514,999;
2021-08-20;153.30;108.05;112.05;124.72;26,018;3,244,935;
2021-08-19;157.77;122.22;143.79;147.75;23,891;3,530,003;
2021-08-18;104.33;79.08;104.32;90.23;7,279;656,806;
2021-08-17;109.54;87.29;90.28;97.83;8,898;870,532;
2021-08-16;104.00;77.24;102.24;89.94;9,251;832,068;
2021-08-13;68.12;62.13;66.62;64.86;7,328;475,294;
2021-08-12;77.08;67.58;69.58;73.71;6,578;484,840;
2021-08-11;84.81;71.54;74.29;77.88;10,719;834,811;
2021-08-10;88.03;80.29;84.03;83.88;10,516;882,129;
2021-08-09;106.24;88.74;89.73;96.04;3,475;333,738;
2021-08-06;94.38;81.37;94.12;88.16;7,428;654,859;
2021-08-05;84.34;72.33;81.33;78.46;16,123;1,264,974;
2021-08-04;93.54;79.04;81.30;85.25;18,307;1,560,681;
2021-08-03;106.01;94.26;95.26;98.79;17,083;1,687,649;
2021-08-02;101.46;83.97;91.95;89.70;11,466;1,028,482;
2021-07-30;123.08;102.84;104.08;114.17;13,774;1,572,542;
2021-07-29;95.55;87.79;93.80;92.21;2,855;263,257;
2021-07-28;102.00;92.51;95.00;96.45;2,742;264,468;
2021-07-27;110.71;93.48;102.22;103.39;7,782;804,600;
2021-07-26;103.44;86.43;91.69;91.71;5,537;507,789;
2021-07-23;116.82;95.31;95.31;99.89;7,360;735,168;
2021-07-22;135.77;121.52;130.27;128.53;9,679;1,244,011;
2021-07-21;158.73;140.24;147.23;151.44;10,125;1,533,313;
2021-07-20;196.19;171.68;174.43;183.93;1,498;275,521;
2021-07-19;196.40;154.40;190.65;168.19;3,024;508,598;
2021-07-16;146.79;124.79;144.28;137.96;1,901;262,258;
2021-07-15;141.24;116.00;139.00;124.67;9,784;1,219,794;
2021-07-14;142.14;121.90;123.15;134.27;4,469;600,032;
2021-07-13;146.11;127.37;132.12;136.29;5,518;752,060;
2021-07-12;167.33;142.83;144.09;152.44;6,462;985,076;
2021-07-09;181.25;160.26;162.00;170.14;527;89,665;
2021-07-08;201.72;163.98;194.98;178.92;5,346;956,529;
2021-07-07;178.70;157.96;157.96;167.66;4,691;786,473;
2021-07-06;196.17;169.93;196.17;184.14;3,717;684,444;
2021-07-05;210.40;183.40;183.40;199.56;1,101;219,720;
2021-07-02;200.57;185.82;196.32;190.65;1,206;229,920;
2021-07-01;228.28;204.28;211.77;212.60;7,842;1,667,227;
2021-06-30;234.75;198.75;218.24;214.86;685;147,178;
2021-06-29;217.66;208.66;213.15;213.18;633;134,946;
2021-06-28;237.21;215.46;232.96;230.98;1,560;360,329;
2021-06-24;233.84;223.85;223.85;230.07;1,522;350,172;
2021-06-23;249.06;221.32;247.31;243.70;1,153;280,988;
2021-06-22;238.53;224.04;229.29;228.76;3,217;735,926;
2021-06-21;264.25;221.76;227.76;259.69;3,289;854,117;
2021-06-18;246.92;208.18;246.92;216.93;3,346;725,854;
2021-06-17;222.15;209.90;220.89;213.63;806;172,189;
2021-06-16;219.34;202.35;202.85;211.37;2,108;445,573;
2021-06-15;213.51;196.02;213.27;203.51;1,716;349,224;
2021-06-14;216.20;194.20;208.94;205.03;2,573;527,550;
2021-06-11;231.48;213.98;215.23;217.92;863;188,066;
2021-06-10;232.90;221.66;230.15;228.07;1,021;232,857;
2021-06-09;227.82;217.58;226.32;223.23;847;189,072;
2021-06-08;230.51;214.51;219.01;219.90;859;188,898;
2021-06-07;228.19;216.44;228.19;225.32;190;42,810;
2021-06-04;230.46;211.71;230.46;216.86;2,543;551,483;
2021-06-03;246.65;222.39;223.63;235.94;1,565;369,245;
2021-06-02;231.57;220.57;224.82;227.77;607;138,256;
2021-06-01;242.75;222.24;236.00;225.91;1,721;388,799;
2021-05-31;249.68;239.93;249.68;246.12;253;62,269;
