sep=;
Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2021-05-28;255.70;239.70;240.95;248.22;1,893;469,878;
2021-05-27;272.65;247.89;250.63;252.41;437;110,302;
2021-05-26;276.19;244.68;274.83;261.64;2,305;603,079;
2021-05-25;255.11;243.37;250.12;246.71;1,271;313,568;
2021-05-24;261.30;250.30;252.29;255.77;1,629;416,644;
2021-05-21;270.09;251.34;255.83;258.38;2,504;646,977;
2021-05-20;291.27;256.02;256.02;271.73;514;139,672;
2021-05-19;307.52;280.03;296.77;289.30;2,971;859,509;
2021-05-18;259.49;245.75;254.74;251.70;1,179;296,758;
2021-05-17;279.23;252.73;270.47;272.93;1,302;355,352;
2021-05-14;279.65;251.90;251.90;262.62;618;162,297;
2021-05-12;308.59;287.09;297.34;292.04;710;207,351;
2021-05-11;310.07;269.07;310.07;289.58;276;79,924;
2021-05-10;251.29;241.80;247.79;247.24;256;63,295;
2021-05-07;252.46;235.47;242.97;247.14;149;36,824;
2021-05-06;275.93;248.18;258.94;268.49;684;183,648;
2021-05-05;289.16;253.66;253.66;268.99;473;127,234;
2021-05-04;314.38;274.13;314.38;294.94;143;42,177;
2021-05-03;292.61;270.86;275.11;279.12;148;41,310
