Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EPC,Edgewell Personal Care Company Common Stock,$35.73,0.29,0.818%,1942399744.00,,,31027,Consumer Non-Durables,Package Goods/Cosmetics
ESCA,Escalade Incorporated Common Stock,$19.405,-0.055,-0.283%,266748213.00,United States,,7371,Consumer Non-Durables,Recreational Products/Toys
EVK,Ever-Glory International Group Inc. Common Stock,$2.6321,0.1021,4.036%,38983138.00,China,,2338,Consumer Non-Durables,Apparel
EWCZ,European Wax Center Inc. Class A Common Stock,$28.0853,0.3553,1.281%,881041085.00,United States,2021,143002,Consumer Non-Durables,Package Goods/Cosmetics
EZGO,EZGO Technologies Ltd. Ordinary Shares,$2.9942,0.1342,4.692%,40130071.00,China,2021,259224,Consumer Non-Durables,Motor Vehicles
FAMI,Farmmi Inc. Ordinary Shares,$0.3478,-0.0107,-2.985%,7136057.00,China,2018,47583441,Consumer Non-Durables,Packaged Foods
FARM,Farmer Brothers Company Common Stock,$7.86,-0.09,-1.132%,141419226.00,United States,,3643,Consumer Non-Durables,Specialty Foods
FIGS,FIGS Inc. Class A Common Stock,$36.00,0.16,0.446%,5795810244.00,,2021,121207,Consumer Non-Durables,Medical Specialities
FIZZ,National Beverage Corp. Common Stock,$55.16,0.26,0.474%,5147550285.00,United States,,18617,Consumer Non-Durables,Beverages (Production/Distribution)
FLO,Flowers Foods Inc. Common Stock,$24.86,0.07,0.282%,5264208219.00,United States,,62118,Consumer Non-Durables,Farming/Seeds/Milling
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,$83.09,0.11,0.133%,29731482077.00,Mexico,,15014,Consumer Non-Durables,Beverages (Production/Distribution)
FNKO,Funko Inc. Class A Common Stock,$18.71,0.21,1.135%,943888666.00,United States,2017,28790,Consumer Non-Durables,Recreational Products/Toys
FOSL,Fossil Group Inc. Common Stock,$11.9217,0.4117,3.577%,621644958.00,United States,1993,90081,Consumer Non-Durables,Consumer Specialties
FOXF,Fox Factory Holding Corp. Common Stock,$149.265,0.445,0.299%,6284561463.00,United States,2013,5700,Consumer Non-Durables,Motor Vehicles
FUV,Arcimoto Inc. Common Stock,$10.65,0.22,2.109%,398228336.00,United States,2017,96206,Consumer Non-Durables,Motor Vehicles
GO,Grocery Outlet Holding Corp. Common Stock,$21.97,0.21,0.965%,2107372814.00,United States,2019,85567,Consumer Non-Durables,Specialty Foods
GOLF,Acushnet Holdings Corp. Common Stock,$48.31,0.20,0.416%,3570383352.00,United States,2016,13034,Consumer Non-Durables,Recreational Products/Toys
GWW,W.W. Grainger Inc. Common Stock,$420.15,2.91,0.697%,21879043614.00,United States,,19773,Consumer Non-Durables,Telecommunications Equipment
HAS,Hasbro Inc. Common Stock,$89.17,-0.83,-0.922%,12277199798.00,United States,,257775,Consumer Non-Durables,Recreational Products/Toys
HBI,Hanesbrands Inc. Common Stock,$16.50,0.27,1.664%,5761003166.00,United States,,765127,Consumer Non-Durables,Apparel
HEAR,Turtle Beach Corporation Common Stock,$30.12,0.00,0.00%,483884758.00,United States,,20862,Consumer Non-Durables,Consumer Electronics/Appliances
HFFG,HF Foods Group Inc. Common Stock,$6.37,-0.05,-0.779%,330688428.00,United States,2017,12441,Consumer Non-Durables,Food Distributors
HIMS,Hims & Hers Health Inc. Class A Common Stock,$7.82,0.44,5.962%,1589277071.00,,2019,732371,Consumer Non-Durables,Package Goods/Cosmetics
HNST,The Honest Company Inc. Common Stock,$9.535,-0.015,-0.157%,860746686.00,United States,2021,93230,Consumer Non-Durables,Department/Specialty Retail Stores
HOG,Harley-Davidson Inc. Common Stock,$37.5592,0.3392,0.911%,5778332420.00,United States,,132395,Consumer Non-Durables,Motor Vehicles
HRL,Hormel Foods Corporation Common Stock,$42.04,0.35,0.84%,22809090352.00,United States,,276240,Consumer Non-Durables,Meat/Poultry/Fish
HSY,The Hershey Company Common Stock,$178.53,0.78,0.439%,36784239790.00,United States,,113347,Consumer Non-Durables,Specialty Foods
IBA,Industrias Bachoco S.A.B. de C.V. Common Stock,$42.00,0.30,0.719%,2100000000.00,Mexico,1997,1027,Consumer Non-Durables,Meat/Poultry/Fish
IMTE,Integrated Media Technology Limited Ordinary Shares,$4.701,0.091,1.974%,39678946.00,Australia,,39983,Consumer Non-Durables,Consumer Electronics/Appliances
INGR,Ingredion Incorporated Common Stock,$96.04,1.06,1.116%,6435166731.00,United States,,23233,Consumer Non-Durables,Farming/Seeds/Milling
IPAR,Inter Parfums Inc. Common Stock,$77.1987,-0.8013,-1.027%,2443721606.00,United States,,6806,Consumer Non-Durables,Package Goods/Cosmetics
JAKK,JAKKS Pacific Inc. Common Stock,$11.91,-0.07,-0.584%,117625542.00,United States,1996,17456,Consumer Non-Durables,Recreational Products/Toys
JBSS,John B. Sanfilippo & Son Inc. Common Stock,$82.6299,-0.2201,-0.266%,947724134.00,United States,1991,1918,Consumer Non-Durables,Specialty Foods
JJSF,J & J Snack Foods Corp. Common Stock,$153.3652,0.3752,0.245%,2923739296.00,United States,1986,4298,Consumer Non-Durables,Specialty Foods
JOAN,JOANN Inc. Common Stock,$10.43,-0.08,-0.761%,439727747.00,United States,2021,81984,Consumer Non-Durables,Department/Specialty Retail Stores
JOUT,Johnson Outdoors Inc. Class A Common Stock,$109.17,-0.73,-0.664%,1105586424.00,United States,,512,Consumer Non-Durables,Recreational Products/Toys
JVA,Coffee Holding Co. Inc. Common Stock,$4.565,0.015,0.33%,26059754.00,United States,2005,7332,Consumer Non-Durables,Specialty Foods
K,Kellogg Company Common Stock,$62.90,0.21,0.335%,21441286207.00,United States,,244546,Consumer Non-Durables,Packaged Foods
KAVL,Kaival Brands Innovations Group Inc. Common Stock,$1.29,0.00,0.00%,36543361.00,United States,,29329,Consumer Non-Durables,Farming/Seeds/Milling
KBSF,KBS Fashion Group Limited Common Stock,$2.96,-0.05,-1.661%,7670245.00,China,2013,5837,Consumer Non-Durables,Apparel
KDP,Keurig Dr Pepper Inc. Common Stock,$35.245,0.205,0.585%,49965108579.00,United States,,563603,Consumer Non-Durables,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$37.345,0.565,1.536%,45687392594.00,United States,,1197356,Consumer Non-Durables,Farming/Seeds/Milling
KN,Knowles Corporation Common Stock,$18.68,-0.04,-0.214%,1718307783.00,,2014,71373,Consumer Non-Durables,Consumer Electronics/Appliances
KO,Coca-Cola Company (The) Common Stock,$54.315,0.195,0.36%,234457144853.00,United States,,2133702,Consumer Non-Durables,Beverages (Production/Distribution)
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),$54.615,0.335,0.617%,11473695388.00,Mexico,1993,2342,Consumer Non-Durables,Beverages (Production/Distribution)
KORE,KORE Group Holdings Inc. Common Stock,$6.53,0.24,3.816%,0.00,,,125741,Consumer Non-Durables,Beverages (Production/Distribution)
KOSS,Koss Corporation Common Stock,$16.07,0.80,5.239%,146425115.00,United States,,51621,Consumer Non-Durables,Consumer Electronics/Appliances
KTOS,Kratos Defense & Security Solutions Inc. Common Stock,$22.50,0.27,1.215%,2789044560.00,United States,,77689,Consumer Non-Durables,Ordnance And Accessories
LANC,Lancaster Colony Corporation Common Stock,$173.97,0.61,0.352%,4789394100.00,United States,,3193,Consumer Non-Durables,Packaged Foods
LFVN,Lifevantage Corporation Common Stock (Delaware),$6.999,0.139,2.026%,92638372.00,United States,,10188,Consumer Non-Durables,Farming/Seeds/Milling
LNDC,Landec Corporation Common Stock (DE),$9.56,0.02,0.21%,281653948.00,United States,1996,4664,Consumer Non-Durables,Farming/Seeds/Milling
LSF,Laird Superfood Inc. Common Stock,$17.2479,-0.2021,-1.158%,155238534.00,,2020,1815,Consumer Non-Durables,Specialty Foods
LW,Lamb Weston Holdings Inc. Common Stock ,$56.52,0.13,0.231%,8255786025.00,,2016,205414,Consumer Non-Durables,Specialty Foods
LWAY,Lifeway Foods Inc. Common Stock,$5.46,-0.03,-0.546%,84274751.00,United States,,3021,Consumer Non-Durables,Specialty Foods
LWLG,Lightwave Logic Inc. Common Stock,$9.38,-0.02,-0.213%,1014133680.00,United States,,152515,Consumer Non-Durables,Plastic Products
MAT,Mattel Inc. Common Stock,$19.2301,0.2201,1.158%,6710733862.00,United States,,318265,Consumer Non-Durables,Recreational Products/Toys
MBUU,Malibu Boats Inc. Class A Common Stock,$71.00,-0.20,-0.281%,1479618487.00,United States,2014,14296,Consumer Non-Durables,Recreational Products/Toys
MCFT,MasterCraft Boat Holdings Inc. Common Stock,$26.70,0.20,0.755%,507905236.00,United States,2015,8027,Consumer Non-Durables,Recreational Products/Toys
MDLZ,Mondelez International Inc. Class A Common Stock,$59.76,0.22,0.369%,83533570394.00,United States,,950664,Consumer Non-Durables,Meat/Poultry/Fish
MITC,MeaTech 3D Ltd. American Depositary Shares,$8.275,-0.215,-2.532%,102547193.00,Israel,2021,118255,Consumer Non-Durables,Packaged Foods
MKC,McCormick & Company Incorporated Common Stock,$79.7437,0.4337,0.547%,21316894021.00,United States,,91562,Consumer Non-Durables,Farming/Seeds/Milling
MMMB,MamaMancini's Holdings Inc. Common Stock,$2.31,-0.06,-2.532%,82524732.00,United States,,13763,Consumer Non-Durables,Farming/Seeds/Milling
MNST,Monster Beverage Corporation,$89.01,-0.26,-0.291%,47076126037.00,United States,,162659,Consumer Non-Durables,Beverages (Production/Distribution)
MO,Altria Group Inc.,$47.035,0.305,0.653%,86736203885.00,United States,,847619,Consumer Non-Durables,Farming/Seeds/Milling
MOV,Movado Group Inc. Common Stock,$32.24,-0.13,-0.402%,742910479.00,United States,,3788,Consumer Non-Durables,Consumer Specialties
MPX,Marine Products Corporation Common Stock,$12.83,0.08,0.627%,436141147.00,United States,,527,Consumer Non-Durables,Recreational Products/Toys
MSN,Emerson Radio Corporation Common Stock,$1.1339,0.0039,0.345%,23860263.00,United States,,1553,Consumer Non-Durables,Consumer Electronics/Appliances
NAII,Natural Alternatives International Inc. Common Stock,$13.35,0.09,0.679%,85905942.00,United States,,2911,Consumer Non-Durables,Food Distributors
NAPA,The Duckhorn Portfolio Inc. Common Stock,$22.435,0.015,0.067%,2581074801.00,,2021,50704,Consumer Non-Durables,Beverages (Production/Distribution)
NBEV,NewAge Inc. Common Stock (Delaware),$1.415,0.005,0.355%,193555087.00,United States,,126348,Consumer Non-Durables,Beverages (Production/Distribution)
NKE,Nike Inc. Common Stock,$152.04,-0.44,-0.289%,240651605693.00,United States,,1395966,Consumer Non-Durables,Shoe Manufacturing
NLS,Nautilus Inc. Common Stock,$9.38,0.10,1.078%,290129966.00,United States,,44394,Consumer Non-Durables,Recreational Products/Toys
NOMD,Nomad Foods Limited Ordinary Shares,$27.85,0.24,0.869%,4919002045.00,,2016,42730,Consumer Non-Durables,Specialty Foods
NPK,National Presto Industries Inc. Common Stock,$82.92,-0.04,-0.048%,583585819.00,United States,,2521,Consumer Non-Durables,Military/Government/Technical
NTCO,Natura &Co Holding S.A. American Depositary Shares ,$15.98,-0.24,-1.48%,11020324697.00,,2020,106977,Consumer Non-Durables,Package Goods/Cosmetics
NUZE,NuZee Inc. Common Stock,$1.9789,-0.0061,-0.307%,35264770.00,United States,,2282,Consumer Non-Durables,Farming/Seeds/Milling
NWL,Newell Brands Inc. Common Stock,$22.31,0.32,1.455%,9490674000.00,United States,,251062,Consumer Non-Durables,Plastic Products
OXM,Oxford Industries Inc. Common Stock,$90.41,0.96,1.073%,1527486262.00,United States,,15331,Consumer Non-Durables,Apparel
PEP,PepsiCo Inc. Common Stock,$157.10,1.07,0.686%,217214777345.00,United States,,546538,Consumer Non-Durables,Beverages (Production/Distribution)
PETZ,TDH Holdings Inc. Common Shares,$1.4845,-0.0155,-1.033%,68064318.00,China,2017,11849,Consumer Non-Durables,Packaged Foods
PFGC,Performance Food Group Company Common Stock,$47.23,-0.61,-1.275%,7287805408.00,United States,2015,82983,Consumer Non-Durables,Food Distributors
PG,Procter & Gamble Company (The) Common Stock,$142.30,0.57,0.402%,345549319414.00,United States,,956712,Consumer Non-Durables,Package Goods/Cosmetics
PII,Polaris Inc. Common Stock,$127.22,-0.22,-0.173%,7708259037.00,United States,,119565,Consumer Non-Durables,Recreational Products/Toys
PLBY,PLBY Group Inc. Common Stock,$23.705,0.605,2.619%,967128632.00,United States,2020,66791,Consumer Non-Durables,Recreational Products/Toys
PLIN,China Xiangtai Food Co. Ltd. Ordinary Shares,$1.02,0.038,3.87%,24371908.00,China,2019,8177,Consumer Non-Durables,Meat/Poultry/Fish
PM,Philip Morris International Inc Common Stock,$95.34,-0.01,-0.01%,148591298177.00,United States,,658776,Consumer Non-Durables,Farming/Seeds/Milling
POOL,Pool Corporation Common Stock,$449.06,2.53,0.567%,40517068531.00,United States,1995,9525,Consumer Non-Durables,Recreational Products/Toys
POSH,Poshmark Inc. Class A Common Stock,$23.27,0.30,1.306%,1774314253.00,United States,2021,51832,Consumer Non-Durables,Department/Specialty Retail Stores
POST,Post Holdings Inc. Common Stock,$105.13,-0.20,-0.19%,6697544769.00,United States,2012,18225,Consumer Non-Durables,Specialty Foods
PPC,Pilgrim's Pride Corporation Common Stock,$29.04,0.24,0.833%,7076337159.00,United States,,56234,Consumer Non-Durables,Meat/Poultry/Fish
PRMW,Primo Water Corporation Common Stock,$16.2845,0.0645,0.398%,2611574756.00,Canada,,30029,Consumer Non-Durables,Soft Drinks
