sep=;
Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2021-06-10;160.35;149.30;157.80;154.89;24,556;3,803,432;
2021-06-09;163.72;152.97;160.57;157.10;38,974;6,122,802;
2021-06-08;164.00;149.75;164.00;159.97;2,460;393,535;
2021-06-07;165.97;154.57;157.47;160.74;22,207;3,569,661;
2021-06-04;175.60;153.20;163.20;162.16;61,977;10,049,933;
2021-06-03;161.33;140.58;161.33;153.50;3,037;466,179;
2021-06-02;164.95;150.45;155.45;157.14;47,422;7,451,892;
2021-06-01;164.23;139.70;156.58;151.18;119,993;18,140,446;
2021-05-31;148.25;128.25;128.25;142.32;43,968;6,257,344;
2021-05-28;148.13;130.88;148.13;142.50;31,122;4,434,987;
2021-05-27;141.31;118.46;138.06;130.76;5,371;702,291;
2021-05-26;130.65;110.80;115.05;116.36;13,546;1,576,254;
2021-05-25;143.78;134.53;134.63;138.59;846;117,243;
2021-05-24;136.60;126.80;135.75;129.81;5,814;754,728;
2021-05-21;141.61;119.28;133.28;131.31;8,653;1,136,259;
2021-05-20;133.93;99.31;133.93;118.43;49,269;5,834,971;
2021-05-19;128.61;80.83;100.48;100.92;82,719;8,347,630;
2021-05-18;145.16;131.16;139.51;138.79;21,714;3,013,713;
2021-05-17;124.66;116.23;124.66;122.12;9,264;1,131,296;
2021-05-14;139.91;105.96;139.91;125.17;30,100;3,767,472;
2021-05-12;108.36;80.84;94.23;98.43;5,399;531,400;
2021-05-11;106.54;81.79;88.04;90.50;13,224;1,196,707;
2021-05-10;152.56;144.26;150.71;151.42;5,212;789,176;
2021-05-07;161.19;140.49;140.49;148.75;708;105,313;
2021-05-06;150.51;129.66;131.51;135.07;5,914;798,778;
2021-05-05;146.19;102.04;146.19;116.01;7,178;832,739;
2021-05-04;100.28;83.93;87.41;89.21;8,318;742,023;
2021-05-03;107.38;104.63;104.63;106.54;590;62,856
